#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      410.1   227.3   160.7   228.1   244.9   386.4   467.0   505.7   530.5   556.5   587.5   635.2   752.4  2378.5  8683.0  25658.9    25710
read      333.7   175.8   160.7   217.4   228.0   297.3   344.4   378.7   406.4   442.5   487.8   549.4   684.0  1631.0  6025.8  79915.1    79937
read      426.7   306.0   173.5   264.5   293.0   406.4   451.0   473.9   492.9   513.2   543.3   590.8   737.0  4245.3 11575.1   7300.3     7271
read      330.8   183.8   160.7   218.0   228.4   296.1   340.3   371.5   397.8   431.2   473.7   538.2   675.7  1954.2  5952.1  85755.7    85861
read      326.3   175.5   160.7   217.4   227.7   293.4   335.6   365.6   390.4   422.0   463.5   527.1   667.3  1601.8  8053.1  91569.2    91467
read      346.5   200.2   160.7   219.4   230.5   305.5   358.7   397.7   430.1   469.7   519.3   584.2   720.4  1861.6  7960.2  72374.4    72217
read      404.4   229.4   160.7   225.5   240.8   366.1   461.3   508.3   537.1   567.2   600.4   651.8   782.2  1966.9  9490.0  31034.6    31080
read      335.2   177.0   160.7   217.0   227.7   297.4   345.4   381.6   411.1   448.9   495.6   558.4   686.0  1515.2  6464.6  76966.0    76878
read      326.2   167.8   160.7   215.6   226.5   292.8   336.0   367.1   393.3   426.8   469.5   533.5   661.6  1539.1  6378.9  84575.8    84584
read      431.8   266.8   173.5   246.7   270.5   422.0   474.9   502.2   521.7   542.9   572.0   617.4   743.0  3586.3 11740.0  12494.7    12492
read      365.3   213.4   160.7   220.0   231.8   317.7   386.0   435.1   472.6   515.0   561.1   622.7   748.5  2226.9  8009.1  56960.1    57106
read      320.9   201.6   160.7   216.1   226.6   290.2   329.2   356.7   379.3   408.7   449.0   507.6   639.3  1688.7  7887.6  96006.2    96245
read      439.5   337.5   187.4   271.4   299.5   417.8   464.3   490.3   507.8   532.4   562.6   613.1   762.4  4374.3 14751.6   6842.5     6791
read      324.8   167.7   160.7   216.6   227.2   292.5   334.1   363.7   388.4   420.2   461.8   524.6   664.1  1636.4  5708.7  90739.6    90728
read      430.1   319.5   187.4   278.3   303.5   404.5   446.9   469.7   489.2   509.6   541.3   590.4   736.7  5242.0 10940.0   5162.4     5151
read      332.0   170.2   160.7   217.8   228.3   296.6   342.1   374.4   401.7   436.4   481.1   543.9   678.8  1632.2  6820.1  82971.8    82969
read      383.8   238.5   160.7   221.5   234.7   335.4   421.2   475.1   512.0   548.2   587.8   641.4   765.7  2140.7  9519.4  42659.3    42635
read      319.8   171.2   160.7   216.6   226.9   290.0   328.1   354.7   376.2   404.6   443.9   502.4   643.2  1756.1  6667.3  99228.0    99337
read      321.2   173.5   160.7   216.2   226.7   290.4   329.6   357.2   379.9   410.1   451.2   511.7   645.1  1660.8  6974.5  95211.2    95192
read      346.1   196.7   160.7   218.6   229.2   303.2   357.7   398.6   432.4   473.7   524.2   587.6   722.7  1743.4  7713.6  69352.8    69200
read      372.7   216.0   160.7   220.3   232.6   323.8   399.8   453.3   491.6   531.7   574.7   630.1   748.8  2073.4  7145.0  49401.8    49459
read      406.8   228.2   160.7   226.3   241.8   371.0   465.3   510.8   538.5   567.7   600.0   649.2   781.1  2146.4  9362.1  29055.0    29055
read      353.4   213.8   160.7   219.2   230.2   309.0   368.8   413.4   449.4   491.8   539.9   599.4   726.5  1589.7  7647.4  64235.0    64324
read      444.5   480.8   173.5   278.2   303.8   411.7   455.4   480.0   498.6   520.7   548.0   593.0   748.5  7975.2 17197.3   5726.4     5705
read      328.6   182.3   160.7   216.8   227.3   294.2   338.0   369.3   395.9   429.6   472.8   537.7   674.2  1677.7  6247.3  84594.3    84816
read      417.8   283.8   160.7   229.7   246.5   391.3   478.5   517.2   541.4   568.6   599.2   648.2   781.1  2810.7 12812.9  23753.0    23714
read      343.2   209.9   160.7   219.0   229.7   303.0   354.4   392.6   423.7   461.8   509.0   574.6   709.6  1737.3  7875.7  74051.9    74116
read      425.7   272.9   160.7   238.7   257.2   409.7   481.5   516.1   538.7   564.2   593.0   638.9   769.4  2673.7 12291.9  19912.6    19948
read      387.8   243.5   160.7   223.4   237.6   337.9   422.6   478.2   516.3   554.2   594.4   649.7   783.5  2157.6 10458.8  44243.3    44213
