Timestamp start: 1684982757549
Timestamp end: 1684984558076

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      323.7   182.5   160.7   217.7   228.1   294.3   334.9   362.5   385.0   413.9   453.1   509.7   635.3  1581.9  7276.4  90727.1    90728
read      431.1   354.9   173.5   281.7   307.5   406.7   446.5   468.2   486.5   506.4   536.6   584.6   738.5  4547.4 15632.9   5160.1     5151
read      335.6   202.7   160.7   219.9   231.5   302.9   346.2   377.3   402.0   434.1   475.8   536.4   670.6  2103.8  7087.5  82743.2    82969
read      382.6   220.7   160.7   221.9   235.4   336.2   419.8   473.0   510.5   546.0   585.4   638.2   763.5  1704.3  8126.9  42560.7    42635
read      317.7   158.9   160.7   217.4   227.7   291.7   328.7   353.3   372.9   398.9   433.9   488.7   615.1  1736.4  6398.4  99435.3    99337
read      318.6   154.1   160.7   216.7   227.1   291.5   330.0   356.0   376.4   403.3   441.1   497.6   620.9  1409.1  5930.4  95230.3    95192
read      344.4   179.4   160.7   218.9   229.7   305.2   358.3   396.8   428.4   467.3   515.8   577.6   695.5  1724.3  5863.7  69374.4    69200
read      372.8   215.2   160.7   221.3   234.3   325.2   399.6   452.3   491.1   530.9   572.5   628.4   746.6  1750.8  8503.0  49314.3    49459
read      403.3   219.5   160.7   226.8   242.4   371.4   461.2   504.9   531.1   558.3   589.4   637.7   753.5  2073.8  8782.8  28990.9    29055
read      353.3   210.2   160.7   219.7   231.3   310.7   367.9   410.3   445.3   486.8   535.2   594.3   726.4  1854.6  8288.8  64308.0    64324
read      439.1   445.3   187.4   277.5   304.7   410.9   452.5   474.9   494.3   515.5   543.8   591.8   746.7  7910.8 18476.0   5712.1     5705
read      334.5   179.2   160.7   219.7   230.7   301.4   345.3   376.7   402.0   434.7   478.9   542.8   678.4  1598.2  6584.1  84712.4    84816
read      419.4   237.4   160.7   230.9   247.7   395.3   484.1   523.8   546.8   573.9   605.8   655.7   779.2  2073.4  9914.3  23723.4    23714
read      346.7   170.1   160.7   220.3   232.2   308.8   361.0   397.8   428.2   466.1   515.1   579.2   716.4  1727.5  6043.3  74145.1    74116
read      424.0   282.3   173.5   235.0   252.1   409.6   483.2   517.4   538.6   562.8   591.0   637.6   769.9  3174.7 12218.9  20013.8    19948
read      385.9   208.7   160.7   223.0   237.2   337.7   422.2   478.4   517.7   554.8   593.4   649.4   777.8  1828.7  8046.9  44263.4    44213
read      426.4   254.1   160.7   235.9   254.1   413.1   487.0   521.3   542.6   567.4   594.2   639.7   753.6  3026.4  9932.2  19482.6    19454
read      432.7   276.4   187.4   269.0   298.5   415.3   458.5   482.8   500.8   522.9   548.8   593.7   744.0  4303.0  9325.0   7199.2     7190
read      383.1   225.9   160.7   222.8   236.9   336.4   413.5   464.6   502.5   541.6   584.2   640.4   779.5  2486.5  8296.8  47615.0    47657
read      386.0   229.6   160.7   222.8   236.8   335.6   418.5   474.5   514.0   551.1   591.2   646.9   786.1  2696.5  8264.7  44310.6    44399
read      435.9   315.6   187.4   275.4   302.8   413.2   455.9   479.9   499.2   521.7   548.1   594.5   748.7  4591.3 12757.3   6475.8     6481
read      445.9   482.5   173.5   279.1   307.0   411.9   454.5   478.2   497.8   520.3   547.6   593.6   772.8  8519.9 19271.9   5805.1     5807
read      337.4   164.9   160.7   220.1   231.6   303.8   349.2   381.6   406.9   440.3   485.3   547.1   683.8  1924.3  6649.7  83107.8    83137
read      450.5   354.4   173.5   258.7   285.8   432.1   481.1   508.7   529.2   549.8   582.2   632.2   791.6  5043.6 13396.3   9483.3     9580
read      405.0   294.2   160.7   225.8   241.7   365.7   449.5   498.9   531.4   564.7   601.8   655.5   789.6  2566.0 12361.1  37329.1    37385
read      403.9   231.1   160.7   225.3   240.7   363.8   457.0   507.9   539.0   571.0   606.6   657.7   776.3  1882.8  9532.2  33822.3    33706
read      403.2   296.3   160.7   225.4   240.5   357.1   451.5   504.7   535.8   567.8   603.8   657.8   796.5  2738.9  9836.9  35189.1    35204
read      376.5   201.8   160.7   222.4   236.1   329.1   403.4   457.3   497.2   537.9   580.9   636.6   754.2  1968.7  8117.8  50432.2    50438
read      378.4   202.9   160.7   222.3   236.1   330.5   407.1   461.7   502.2   542.4   584.4   639.8   760.2  1693.5  7655.5  48926.3    48878
read      391.6   234.3   160.7   223.8   238.1   341.5   429.4   486.0   523.9   560.5   600.1   657.8   788.7  2369.4  8861.1  42774.2    42682
